Taxa	Romay_GDD_DTS
Ames23439	1276.0754
Ames23440	1226.8424
Ames23441	1271.4565
Ames23442	1263.3931
Ames23443	1280.0878
Ames23444	1388.5888
Ames23445	1387.7085
Ames23446	1308.6992
Ames23447	1248.254
Ames23448	1278.4009
Ames23449	1433.2828
Ames23451	1278.8349
Ames23452	1225.4333
Ames23455	1307.8386
Ames23456	1460.2895
Ames23457	1469.0024
Ames23458	1458.9104
Ames23459	1629.1545
Ames23460	1340.4018
Ames23461	1438.9072
Ames23463	1495.0087
Ames23464	1565.1678
Ames23465	1425.4158
Ames23466	1446.8782
Ames23467	1450.5686
Ames23468	1468.4719
Ames23469	1445.1398
Ames23470	1531.5262
Ames23471	1691.3078
Ames23473	1472.2725
Ames23474	1559.3775
Ames23475	1467.5978
Ames23476	1366.9148
Ames23477	1416.0127
Ames23478	1509.6598
Ames23479	1625.138
Ames23480	1566.5987
Ames23481	1569.1934
Ames23482	1311.1406
Ames23483	1302.1866
Ames23484	1392.0587
Ames23485	1314.0863
Ames23486	1375.2836
Ames23487	NaN
Ames23488	1444.9082
Ames23490	1261.7034
Ames23491	1371.4278
Ames23492	1358.0143
Ames23493	1517.7126
Ames23494	1551.8459
Ames23495	1467.2434
Ames23496	1453.5716
Ames23497	1241.6885
Ames23498	1381.6118
Ames23499	1240.8877
Ames23500	1316.0253
Ames23501	1360.179
Ames23502	1432.3115
Ames23504	1493.6888
Ames23505	1378.5391
Ames23507	1281.7667
Ames23508	1203.0316
Ames23509	1225.3079
Ames23510	1245.8026
Ames23922	1406.5822
Ames23923	1808.2114
Ames23924	1986.6279
Ames24585	1360.4133
Ames24589	1752.935
Ames24590	1634.1086
Ames24704	1395.9327
Ames24705	1645.3751
Ames24706	1312.1032
Ames24707	1459.7074
Ames24708	1407.7467
Ames24709	1444.9314
Ames24710	1566.8744
Ames24711	1473.5901
Ames24713	1509.4188
Ames24714	1320.8248
Ames24715	1337.5324
Ames24716	1562.532
Ames24717	1541.6608
Ames24718	1581.003
Ames24719	1487.8987
Ames24720	1479.2409
Ames24721	1433.2168
Ames24722	1418.5059
Ames24723	1380.5015
Ames24724	1328.6756
Ames24725	1285.2486
Ames24727	1494.2776
Ames24728	NaN
Ames24729	1434.7595
Ames24730	1598.357
Ames24732	1330.0361
Ames24733	1397.3838
Ames24735	1530.2493
Ames24736	1494.1573
Ames24737	1512.2464
Ames24738	1449.2883
Ames24739	1416.2564
Ames24740	1564.4469
Ames24741	1231.0078
Ames24742	1453.5322
Ames24743	1451.651
Ames24744	1513.6109
Ames24745	1483.0604
Ames24746	1523.2057
Ames24747	1553.9251
Ames24748	1509.334
Ames24749	1510.6888
Ames24750	1541.3678
Ames24751	1436.4992
Ames25177	1900.6045
Ames25179	1654.8979
Ames25181	NaN
Ames25182	1707.2767
Ames25218	1796.9956
Ames25219	NaN
Ames25220	NaN
Ames25221	NaN
Ames2523	1640.1659
Ames25372	1700.3788
Ames25373	NaN
Ames25374	NaN
Ames25559	1650.001
Ames26004	1443.2021
Ames26021	1671.4735
Ames26022	1525.8319
Ames26028	1739.6775
Ames26114	1720.7023
Ames26115	1680.1858
Ames26117	1794.9329
Ames26118	1789.4815
Ames26119	1746.6022
Ames26120	1634.0503
Ames26121	1779.069
Ames26122	1724.3869
Ames26123	1841.3925
Ames26124	1682.5259
Ames26125	1693.0838
Ames26126	1729.1787
Ames26127	1663.7948
Ames26128	1573.2688
Ames26129	1670.0764
Ames26130	1817.5596
Ames26131	1846.1322
Ames26132	1534.0857
Ames26133	1848.2697
Ames26134	1545.6754
Ames26135	1678.0369
Ames26136	1704.7299
Ames26137	1634.1468
Ames26253	2226.6079
Ames26439	NaN
Ames26443	NaN
Ames26484	NaN
Ames26501	NaN
Ames26511	NaN
Ames26741	1614.0495
Ames26742	1597.7251
Ames26743	1575.9897
Ames26744	1570.458
Ames26745	1587.2562
Ames26746	1559.1057
Ames26747	1591.4328
Ames26748	1605.7557
Ames26749	1691.2886
Ames26750	1582.7667
Ames26751	1595.6236
Ames26752	1872.317
Ames26753	1487.9206
Ames26754	1661.2916
Ames26755	1569.9959
Ames26756	1685.1995
Ames26757	1595.0628
Ames26758	1444.1308
Ames26760	1480.0272
Ames26761	1552.6545
Ames26762	1519.9137
Ames26763	1572.6354
Ames26764	1498.0109
Ames26765	1538.9885
Ames26766	1533.8506
Ames26767	1529.9398
Ames26768	1423.2955
Ames26769	NaN
Ames26770	1606.2909
Ames26772	1482.0641
Ames26773	1745.7614
Ames26774	1763.6431
Ames26775	1600.5459
Ames26776	1648.2997
Ames26777	1738.9076
Ames26778	1444.8422
Ames26779	1607.0107
Ames26780	1703.8551
Ames26781	1686.7926
Ames26782	1706.4288
Ames26783	1588.9228
Ames26784	1516.4108
Ames26785	1471.3819
Ames26786	1543.7208
Ames26788	1717.367
Ames26789	1691.5103
Ames26790	1838.3849
Ames26791	1680.799
Ames26792	1973.1285
Ames26793	1539.2326
Ames26794	1610.2933
Ames26795	1706.5686
Ames26796	1599.4408
Ames26797	1615.6949
Ames26798	1543.4032
Ames26799	1745.0889
Ames26800	1584.3251
Ames26801	1426.357
Ames26802	1545.5939
Ames26803	1608.171
Ames26804	1547.292
Ames26805	1721.8421
Ames26806	1773.5963
Ames26808	1536.1938
Ames26812	986.1538
Ames26813	1144.9322
Ames26815	NaN
Ames26909	1739.1845
Ames27017	1465.7813
Ames27018	1450.6425
Ames27019	1478.9766
Ames27020	1485.0855
Ames27021	1467.3896
Ames27024	1207.8488
Ames27025	1135.0676
Ames27026	NaN
Ames27027	NaN
Ames27028	1322.6707
Ames27029	NaN
Ames27031	1316.5516
Ames27032	1290.7763
Ames27033	1304.9189
Ames27034	1327.615
Ames27035	1309.244
Ames27036	1250.3236
Ames27037	1277.0024
Ames27039	1223.8612
Ames27040	1371.9748
Ames27041	1264.0202
Ames27042	1369.0503
Ames27043	1235.8177
Ames27044	1341.1279
Ames27045	1217.2308
Ames27046	1343.3221
Ames27047	1346.231
Ames27048	1213.2785
Ames27049	1330.3406
Ames27051	1587.7562
Ames27052	1613.7508
Ames27053	1618.3656
Ames27056	1240.2649
Ames27057	1293.8025
Ames27075	2072.5874
Ames27077	2395.7124
Ames27109	1660.0913
Ames27117	1324.9286
Ames27119	1408.4802
Ames27128	2210.7229
Ames27129	2171.55
Ames27131	NaN
Ames27136	1728.145
Ames27142	1494.0727
Ames27150	1583.5471
Ames27152	1690.8617
Ames27154	1684.3249
Ames27157	1725.9174
Ames27161	1581.3743
Ames27162	1788.6467
Ames27163	1823.5458
Ames27181	1788.1622
Ames27182	1543.3286
Ames27194	1287.4546
Ames27197	NaN
Ames27198	NaN
Ames27199	NaN
Ames27200	NaN
Ames27201	NaN
Ames27202	NaN
Ames27203	NaN
Ames27204	NaN
Ames27205	NaN
Ames27206	NaN
Ames27207	NaN
Ames27208	NaN
Ames27209	NaN
Ames27210	NaN
Ames27211	NaN
Ames27212	NaN
Ames27213	NaN
Ames27214	NaN
Ames27215	NaN
Ames27216	NaN
Ames27217	NaN
Ames27218	NaN
Ames27219	NaN
Ames27260	2123.5445
Ames27444	1502.5908
Ames27445	1529.9754
Ames27446	1502.8849
Ames27447	1577.3244
Ames27450	1443.7595
Ames27451	1516.7937
Ames28170	1409.6432
Ames28186	1362.4396
Ames28290	1278.2916
Ames28291	1928.9024
Ames28360	1618.5346
Ames28361	1586.2223
Ames28362	1890.8696
Ames28364	1360.2109
Ames28365	1627.4603
Ames28366	1561.5008
Ames28367	1687.8763
Ames28411	1667.7954
Ames28412	1531.0127
Ames28413	1521.8549
Ames28414	1748.9421
Ames28415	1737.8542
Ames28416	1748.6691
Ames28417	1606.1815
Ames28418	1656.1013
Ames28419	1602.0058
Ames28420	1608.1223
Ames28421	1586.3972
Ames28422	1528.1083
Ames28423	1594.1134
Ames28424	1593.0843
Ames28425	1578.6697
Ames28426	1529.5596
Ames28927	1784.9071
Ames28928	1804.7252
Ames28929	1770.7537
Ames28930	1702.1829
Ames28931	1862.0543
Ames28932	1713.9097
Ames28933	1793.1549
Ames28934	1733.3374
Ames28935	1742.3346
Ames28936	1772.6547
Ames28937	1656.3597
Ames28938	1579.2827
Ames28940	1621.5313
Ames28941	1719.7345
Ames28942	1725.0134
Ames28943	1818.8293
Ames28944	1625.0849
Ames28945	1501.7624
Ames28946	1663.6235
Ames28947	1568.8062
Ames28948	1718.5953
Ames28949	1719.0491
Ames28950	1700.3228
Ames28951	1729.4704
Ames28952	1720.7303
Ames28953	1469.335
Ames28954	2088.6028
Ames28957	NaN
Ames28970	1382.2555
Ames28971	1443.5251
Ames28972	1370.3478
Ames28973	1400.5174
Ames28974	1431.2335
Ames28975	1327.9746
Ames28976	NaN
Ames28977	1520.3919
Ames28978	1366.5929
Ames28979	1393.8238
Ames28980	1424.9623
Ames28981	1454.2707
Ames28982	1403.4164
Ames28983	NaN
Ames28984	1470.5171
Ames28985	1463.709
Ames28986	1425.3841
Ames28987	1523.4283
Ames28988	1416.587
Ames28989	1561.1396
Ames28990	1430.0551
Ames28991	1494.6919
Ames28992	1489.5887
Ames28993	NaN
Ames28994	1441.7862
Ames28995	1416.9453
Ames28996	1501.4223
Ames28997	NaN
Ames28998	1526.2371
Ames28999	1561.8974
Ames29000	NaN
Ames29001	1676.334
Ames29002	1526.7972
Ames29003	1533.927
Ames29004	1465.751
Ames29005	1524.0313
Ames29006	1376.5939
Ames29007	1551.4014
Ames29008	1491.9961
Ames29009	1591.9084
Ames29010	1499.3994
Ames29011	1514.2737
Ames29012	1475.4891
Ames29013	1513.9931
Ames29014	1492.4781
Ames29015	1508.8832
Ames29016	1552.1943
Ames29017	1442.4419
Ames29018	1452.6589
Ames29019	1456.9338
Ames29020	1427.5178
Ames29021	1434.0268
Ames29022	1626.1042
Ames29023	NaN
Ames29024	NaN
Ames29025	NaN
Ames29026	NaN
Ames29027	NaN
Ames29028	NaN
Ames29030	1478.4065
Ames29045	2068.2448
Ames29394	1806.127
Ames29447	NaN
Ames29448	NaN
Ames29451	1767.5763
Ames30480	NaN
Ames30522	NaN
Ames30523	NaN
Ames30524	NaN
Ames30526	NaN
Ames30527	NaN
Ames30529	NaN
Ames30531	NaN
Ames30533	NaN
Ames30534	NaN
Ames30535	NaN
Ames30536	NaN
Ames30537	NaN
Ames30790	NaN
Ames30791	NaN
Ames30792	NaN
Ames30793	NaN
Ames30794	NaN
Ames30795	NaN
Ames30796	NaN
Ames30797	NaN
Ames30798	NaN
Ames30799	NaN
Ames30862	NaN
Ames30863	NaN
Ames30864	NaN
Ames30865	NaN
Ames30866	NaN
Ames30867	NaN
Ames30868	NaN
Ames30869	NaN
Ames30870	NaN
Ames8397	1572.5987
Ames8399	NaN
Ames_30480	1629.9312
B10	1753.6829
B103	1402.7074
B104	1656.4167
B105	1523.9192
B109	1597.4731
B115	1666.895
B14A	1686.6018
B164	1487.2204
B2	NaN
B37	1571.7085
B46	1537.4683
B52	1682.214
B57	1603.7916
B64	1683.8739
B68	1648.7654
B73	1527.5383
B73Htrhm	1553.67
B75	1527.1886
B76	1464.0113
B77	1621.2898
B79	1579.3888
B84	1661.4195
B97	1578.8174
BAI_IIIb-6	1533.7962
BAI_IIId-2	1708.2402
C103	1626.4588
C123	1481.9874
C49A	1248.2382
CG10	NaN
CH701-30	1486.6068
CH9	1517.2321
CI.7	NaN
CI187-2	1595.1025
CI21E	1681.8429
CI28A	1646.8087
CI31A	1752.4745
CI3A	1727.3682
CI64	1724.1556
CI66	1997.3002
CI90C	1640.6182
CI91B	1727.5961
CIze127	1750.7356
CIze23	1981.6609
CIze27	1680.7607
CIze29	1703.508
CIze3	1737.4356
CIze317	1855.1572
CIze38	1751.5931
CIze40	1526.104
CIze42	1644.2168
CIze44	1729.4923
CIze45	1606.3852
CIze49	1760.7828
CIze7	NaN
CIze81	1741.7464
CIze82	1681.3354
CIze83	1757.0285
CIze85	1793.3299
CIze86	1872.2223
CIze88	1858.6935
CIze89	1864.3528
CIze90	1827.441
CM105	1306.892
CM174	1345.4583
CM37	1221.3061
CM7	1144.5936
CML10	2097.5257
CML101	1989.576
CML103	1752.4057
CML107	1919.7659
CML108	1856.8754
CML11	2046.2838
CML115	1803.6393
CML116	1636.4758
CML118	1853.3129
CML121	1818.9375
CML139	1731.6894
CML14	2327.8101
CML142	2091.6824
CML144	2058.7394
CML154Q	1735.8731
CML157Q	1937.8127
CML158Q	2016.6802
CML172	1871.3311
CML176	1870.0746
CML184	1847.0446
CML195	2200.5466
CML196	2086.9468
CML197	1654.629
CML198	2063.2564
CML199	1897.5765
CML200	2435.9531
CML201	2315.3804
CML204	2064.6351
CML206	1900.0044
CML210	NaN
CML211	1600.7333
CML212	1763.5283
CML213	1624.0115
CML214	2069.2232
CML215	2181.1418
CML217	1958.1717
CML218	1932.4719
CML219	1700.1614
CML220	1643.3411
CML223	2099.0647
CML224	2507.6763
CML225	1961.9267
CML226	2165.6419
CML227	2175.1382
CML228	2094.4128
CML229	2346.6693
CML230	2240.6791
CML231	2411.2098
CML233	NaN
CML234	1936.2623
CML235	2055.8609
CML236	2043.5653
CML238	2057.6581
CML242	1936.6949
CML246	1681.0506
CML247	2127.8545
CML254	2844.8546
CML255	2311.7763
CML258	2274.9368
