Taxa	Lipka_aTgT
Ames23491	NaN
Ames23492	NaN
Ames23493	NaN
Ames23494	NaN
Ames23495	NaN
Ames23496	NaN
Ames23497	NaN
Ames23498	NaN
Ames23499	NaN
Ames23500	NaN
Ames23501	NaN
Ames23502	NaN
Ames23504	NaN
Ames23505	NaN
Ames23507	NaN
Ames23508	NaN
Ames23509	NaN
Ames23510	NaN
Ames23922	NaN
Ames23923	NaN
Ames23924	NaN
Ames24585	NaN
Ames24589	NaN
Ames24590	NaN
Ames24704	NaN
Ames24705	NaN
Ames24706	NaN
Ames24707	NaN
Ames24708	NaN
Ames24709	NaN
Ames24710	NaN
Ames24711	NaN
Ames24713	NaN
Ames24714	NaN
Ames24715	NaN
Ames24716	NaN
Ames24717	NaN
Ames24718	NaN
Ames24719	NaN
Ames24720	NaN
Ames24721	NaN
Ames24722	NaN
Ames24723	NaN
Ames24724	NaN
Ames24725	NaN
Ames24727	NaN
Ames24728	NaN
Ames24729	NaN
Ames24730	NaN
Ames24732	NaN
Ames24733	NaN
Ames24735	NaN
Ames24736	NaN
Ames24737	NaN
Ames24738	NaN
Ames24739	NaN
Ames24740	NaN
Ames24741	NaN
Ames24742	NaN
Ames24743	NaN
Ames24744	NaN
Ames24745	NaN
Ames24746	NaN
Ames24747	NaN
Ames24748	NaN
Ames24749	NaN
Ames24750	NaN
Ames24751	NaN
Ames25177	NaN
Ames25179	NaN
Ames25181	NaN
Ames25182	NaN
Ames25218	NaN
Ames25219	NaN
Ames25220	NaN
Ames25221	NaN
Ames2523	NaN
Ames25372	NaN
Ames25373	NaN
Ames25374	NaN
Ames25559	NaN
Ames26004	NaN
Ames26021	NaN
Ames26022	NaN
Ames26028	NaN
Ames26114	NaN
Ames26115	NaN
Ames26117	NaN
Ames26118	NaN
Ames26119	NaN
Ames26120	NaN
Ames26121	NaN
Ames26122	NaN
Ames26123	NaN
Ames26124	NaN
Ames26125	NaN
Ames26126	NaN
Ames26127	NaN
Ames26128	NaN
Ames26129	NaN
Ames26130	NaN
Ames26131	NaN
Ames26132	NaN
Ames26133	NaN
Ames26134	NaN
Ames26135	NaN
Ames26136	NaN
Ames26137	NaN
Ames26253	NaN
Ames26439	NaN
Ames26443	NaN
Ames26484	NaN
Ames26501	NaN
Ames26511	NaN
Ames26741	NaN
Ames26742	NaN
Ames26743	NaN
Ames26744	NaN
Ames26745	NaN
Ames26746	NaN
Ames26747	NaN
Ames26748	NaN
Ames26749	NaN
Ames26750	NaN
Ames26751	NaN
Ames26752	NaN
Ames26753	NaN
Ames26754	NaN
Ames26755	NaN
Ames26756	NaN
Ames26757	NaN
Ames26758	NaN
Ames26760	NaN
Ames26761	NaN
Ames26762	NaN
Ames26763	NaN
Ames26764	NaN
Ames26765	NaN
Ames26766	NaN
Ames26767	NaN
Ames26768	NaN
Ames26769	NaN
Ames26770	NaN
Ames26772	NaN
Ames26773	NaN
Ames26774	NaN
Ames26775	NaN
Ames26776	NaN
Ames26777	NaN
Ames26778	NaN
Ames26779	NaN
Ames26780	NaN
Ames26781	NaN
Ames26782	NaN
Ames26783	NaN
Ames26784	NaN
Ames26785	NaN
Ames26786	NaN
Ames26788	NaN
Ames26789	NaN
Ames26790	NaN
Ames26791	NaN
