Taxa	Lipka_aTgT
NSL30863	NaN
NSL30864	NaN
NSL30865	NaN
NSL30866	NaN
NSL30868	NaN
NSL30869	NaN
NSL30871	NaN
NSL30872	NaN
NSL30873	NaN
NSL30874	NaN
NSL30875	NaN
NSL30876	NaN
NSL30877	NaN
NSL30878	NaN
NSL30879	NaN
NSL30883	NaN
NSL30884	NaN
NSL30885	NaN
NSL30888	NaN
NSL30889	NaN
NSL30890	NaN
NSL30895	NaN
NSL30896	NaN
NSL30898	NaN
NSL30901	NaN
NSL30902	NaN
NSL30903	NaN
NSL30905	NaN
NSL30906	NaN
NSL30907	NaN
NSL30908	NaN
NSL30909	NaN
NSL30910	NaN
NSL30911	NaN
NSL30912	NaN
NSL30913	NaN
NSL32718	NaN
NSL32719	NaN
NSL32720	NaN
NSL32721	NaN
NSL32722	NaN
NSL32723	NaN
NSL32725	NaN
NSL32726	NaN
NSL32727	NaN
NSL32728	NaN
NSL32729	NaN
NSL32730	NaN
NSL32731	NaN
NSL32732	NaN
NSL32733	NaN
NSL32734	NaN
NSL32735	NaN
NSL32736	NaN
NSL32738	NaN
NSL32739	NaN
NSL34374	NaN
NSL42804	NaN
NSL42805	NaN
NSL42806	NaN
NSL42807	NaN
NSL42808	NaN
NSL42872	NaN
NSL42873	NaN
NSL42874	NaN
NSL42875	NaN
NSL42877	NaN
NSL42878	NaN
NSL43597	NaN
NSL437871	NaN
NSL437877	NaN
NSL437878	NaN
NSL437879	NaN
NSL437882	NaN
NSL437884	NaN
NSL437890	NaN
NSL437891	NaN
NSL437893	NaN
NSL437895	NaN
NSL437896	NaN
NSL437897	NaN
NSL437899	NaN
NSL437903	NaN
NSL437905	NaN
NSL437907	NaN
NSL437908	NaN
NSL437909	NaN
NSL437910	NaN
NSL437913	NaN
NSL437914	NaN
NSL437915	NaN
NSL437920	NaN
NSL437923	NaN
NSL437925	NaN
NSL437928	NaN
NSL437929	NaN
NSL437930	NaN
NSL437931	NaN
NSL437932	NaN
NSL437933	NaN
NSL437934	NaN
NSL437935	NaN
NSL437936	NaN
NSL437937	NaN
NSL437939	NaN
NSL437940	NaN
NSL437943	NaN
NSL437945	NaN
NSL437946	NaN
NSL437947	NaN
NSL437948	NaN
NSL437950	NaN
NSL437952	NaN
NSL437956	NaN
NSL437959	NaN
NSL437960	NaN
NSL437962	NaN
NSL437964	NaN
NSL437966	NaN
NSL437967	NaN
NSL437968	NaN
NSL437971	NaN
NSL437972	NaN
NSL437973	NaN
NSL437976	NaN
NSL437979	NaN
NSL437980	NaN
NSL437981	NaN
NSL437982	NaN
NSL437983	NaN
NSL437987	NaN
NSL437988	NaN
NSL437989	NaN
NSL437990	NaN
NSL437992	NaN
NSL437993	NaN
NSL437994	NaN
NSL437995	NaN
NSL437996	NaN
NSL437998	NaN
NSL438002	NaN
NSL438005	NaN
NSL438007	NaN
NSL438008	NaN
NSL438009	NaN
NSL438010	NaN
NSL438013	NaN
NSL438019	NaN
NSL438021	NaN
NSL438022	NaN
NSL438023	NaN
NSL438029	NaN
NSL438030	NaN
NSL438031	NaN
NSL438032	NaN
NSL438033	NaN
NSL438034	NaN
NSL438036	NaN
NSL438037	NaN
NSL438038	NaN
NSL438039	NaN
NSL438040	NaN
NSL438041	NaN
NSL438042	NaN
NSL438043	NaN
NSL52605	NaN
NSL53081	NaN
NSL53082	NaN
NSL53096	NaN
NSL65862	NaN
NSL65863	NaN
NSL65864	NaN
NSL65866	NaN
NSL65868	NaN
NSL65869	NaN
NSL65872	NaN
NSL67786	NaN
NSL67788	NaN
NSL67789	NaN
NSL67790	NaN
NSL67792	NaN
NSL67793	NaN
NSL67796	NaN
NSL67797	NaN
NSL67798	NaN
NSL67799	NaN
NSL68211	NaN
NSL68245	NaN
NSL75970	NaN
NSL75971	NaN
NSL75976	NaN
NSL75977	NaN
NSL75980	NaN
NSL81595	NaN
NSL81596	NaN
NSL81597	NaN
NSL81598	NaN
NSL81600	NaN
NSL8579	NaN
NSL8581	NaN
NSL8582	NaN
NSL8583	NaN
NSL91618	NaN
NY6371	NaN
OH7B	0.640310309
Oh40B	0.842180199
Oh43	0.80714248
Oh43E	0.603231159
Oh603	1.028814315
Os420	0.769010834
P39	NaN
PI186182	NaN
PI186183	NaN
PI186184	NaN
PI186185	NaN
PI186187	NaN
PI186188	NaN
PI186190	NaN
PI186191	NaN
PI186192	NaN
PI186193	NaN
PI186195	NaN
PI186196	NaN
PI186197	NaN
PI186198	NaN
PI186199	NaN
PI186215	NaN
PI186216	NaN
PI186217	NaN
PI186218	NaN
PI186219	NaN
PI186220	NaN
PI186221	NaN
PI186223	NaN
PI186224	NaN
PI186226	NaN
PI186227	NaN
PI186228	NaN
PI186229	NaN
PI186230	NaN
PI186231	NaN
PI198888	NaN
PI198889	NaN
PI198890	NaN
PI198892	NaN
PI198893	NaN
PI198894	NaN
PI198895	NaN
PI198896	NaN
PI198897	NaN
PI198901	NaN
PI198902	NaN
PI198903	NaN
PI198904	NaN
PI198905	NaN
PI198906	NaN
PI200179	NaN
PI200180	NaN
PI200181	NaN
PI200182	NaN
PI200184	NaN
PI200185	NaN
PI200187	NaN
PI200188	NaN
PI200189	NaN
PI200191	NaN
PI200192	NaN
PI200193	NaN
PI200194	NaN
PI200195	NaN
PI200196	NaN
PI221733	NaN
PI221734	NaN
PI221735	NaN
PI221736	NaN
PI221737	NaN
PI221738	NaN
PI221739	NaN
PI221741	NaN
PI221743	NaN
PI221747	NaN
PI221749	NaN
PI221750	NaN
PI221773	NaN
PI221775	NaN
PI221785	NaN
PI221788	NaN
PI221789	NaN
PI221790	NaN
PI221794	NaN
PI221797	NaN
PI221804	NaN
PI221805	NaN
PI221806	NaN
PI221811	NaN
PI221813	NaN
PI221817	NaN
PI221820	NaN
PI221821	NaN
PI221822	NaN
PI233312	NaN
PI233313	NaN
PI233314	NaN
PI233315	NaN
PI233316	NaN
PI233317	NaN
PI233318	NaN
PI233319	NaN
PI233320	NaN
PI233321	NaN
PI233322	NaN
PI233323	NaN
PI236997	NaN
PI257506	NaN
PI257507	NaN
PI257508	NaN
PI257511	NaN
PI257512	NaN
PI257513	NaN
PI257514	NaN
PI257515	NaN
PI257516	NaN
PI257517	NaN
PI267164	NaN
PI267165	NaN
PI267166	NaN
PI267167	NaN
PI267168	NaN
PI267169	NaN
PI267170	NaN
PI267171	NaN
PI270297	NaN
PI303924	NaN
PI303925	NaN
PI303926	NaN
PI303927	NaN
PI303928	NaN
PI303929	NaN
PI303930	NaN
PI303932	NaN
PI303933	NaN
PI303935	NaN
PI303936	NaN
PI303937	NaN
PI303938	NaN
PI303939	NaN
PI303940	NaN
PI303941	NaN
PI303942	NaN
PI303943	NaN
PI303944	NaN
PI340812	NaN
PI340813	NaN
PI340817	NaN
PI340818	NaN
PI340819	NaN
PI340820	NaN
PI340821	NaN
PI340822	NaN
PI340823	NaN
PI340824	NaN
PI340825	NaN
PI340826	NaN
PI340827	NaN
PI340829	NaN
PI340830	NaN
PI340835	NaN
PI340836	NaN
PI340837	NaN
PI340838	NaN
PI340839	NaN
PI340841	NaN
PI340842	NaN
PI340843	NaN
PI340844	NaN
PI340845	NaN
PI340846	NaN
PI340847	NaN
PI340850	NaN
PI340851	NaN
PI340853	NaN
PI340854	NaN
PI340855	NaN
PI340856	NaN
PI340857	NaN
PI340858	NaN
PI340859	NaN
PI340860	NaN
PI340861	NaN
PI340862	NaN
PI340863	NaN
PI340865	NaN
PI340866	NaN
PI340867	NaN
PI340868	NaN
PI340869	NaN
PI340870	NaN
PI340871	NaN
PI340872	NaN
PI340873	NaN
PI340874	NaN
PI340875	NaN
PI340876	NaN
PI340877	NaN
PI340878	NaN
PI343952	NaN
PI343953	NaN
PI358521	NaN
PI358522	NaN
PI358523	NaN
PI358524	NaN
PI358525	NaN
PI358526	NaN
PI358527	NaN
PI358528	NaN
PI358529	NaN
PI358530	NaN
PI358531	NaN
PI358532	NaN
PI358533	NaN
PI358534	NaN
PI358535	NaN
PI358536	NaN
PI358537	NaN
PI358538	NaN
PI358539	NaN
PI369437	NaN
PI369438	NaN
PI369439	NaN
PI369442	NaN
PI369443	NaN
PI369446	NaN
PI391414	NaN
PI391415	NaN
PI391416	NaN
PI391660	NaN
PI391662	NaN
PI391663	NaN
PI391665	NaN
PI391666	NaN
PI391667	NaN
PI391670	NaN
PI391672	NaN
PI391676	NaN
PI391678	NaN
PI391679	NaN
PI391680	NaN
PI391682	NaN
PI405705	NaN
PI405706	NaN
PI405707	NaN
PI405709	NaN
PI405711	NaN
PI405712	NaN
PI405713	NaN
PI405714	NaN
PI406106	NaN
PI406107	NaN
PI406108	NaN
PI406109	NaN
PI406110	NaN
PI406113	NaN
PI406115	NaN
PI406116	NaN
PI406117	NaN
PI406118	NaN
PI406119	NaN
PI406120	NaN
PI406122	NaN
PI406123	NaN
PI406124	NaN
PI406125	NaN
PI406126	NaN
PI406127	NaN
PI406128	NaN
PI406129	NaN
PI406130	NaN
PI415077	NaN
PI415078	NaN
PI415079	NaN
PI415080	NaN
PI415081	NaN
PI415082	NaN
PI415083	NaN
PI415084	NaN
PI415085	NaN
PI415086	NaN
PI415087	NaN
PI415088	NaN
PI415089	NaN
PI415090	NaN
PI415091	NaN
PI427109	NaN
PI427111	NaN
PI433485	NaN
PI433486	NaN
PI433487	NaN
PI433488	NaN
PI452250	NaN
PI459078	NaN
PI459080	NaN
PI459082	NaN
PI506243	NaN
PI506244	NaN
PI506245	NaN
PI506249	NaN
PI506250	NaN
PI506251	NaN
PI506252	NaN
PI506254	NaN
PI506256	NaN
PI506257	NaN
PI506258	NaN
PI506411	NaN
PI506412	NaN
PI506413	NaN
PI508277	NaN
PI509045	NaN
PI509046	NaN
PI509542	NaN
PI510674	NaN
PI511309	NaN
PI511310	NaN
PI511311	NaN
PI511313	NaN
PI511315	NaN
PI511317	NaN
PI511318	NaN
PI511804	NaN
PI511805	NaN
PI517968	NaN
PI517971	NaN
PI517972	NaN
PI517973	NaN
PI518660	NaN
PI520770	NaN
PI520771	NaN
PI520772	NaN
PI522250	NaN
PI522252	NaN
PI524970	NaN
PI527699	NaN
PI527700	NaN
PI531081	NaN
PI531082	NaN
PI531083	NaN
PI531509	NaN
PI531510	NaN
PI531511	NaN
PI533658	NaN
PI533659	NaN
PI535900	NaN
PI535901	NaN
PI535906	NaN
PI535913	NaN
PI535914	NaN
PI535916	NaN
PI535917	NaN
PI535919	NaN
PI535920	NaN
PI535921	NaN
PI535923	NaN
PI535924	NaN
PI535925	NaN
PI535926	NaN
PI535927	NaN
PI536520	NaN
PI537097	NaN
PI537099	NaN
PI538007	NaN
PI538008	NaN
PI538009	NaN
PI538010	NaN
PI538011	NaN
PI538229	NaN
PI538231	NaN
PI538235	NaN
PI538236	NaN
PI538237	NaN
PI538238	NaN
PI538239	NaN
PI538242	NaN
PI538244	NaN
PI539859	NaN
PI539870	NaN
PI539871	NaN
PI539872	NaN
PI539920	NaN
PI539921	NaN
PI539922	NaN
PI539923	NaN
PI539924	NaN
PI539925	NaN
PI539926	NaN
PI539927	NaN
PI539930	NaN
PI540312	NaN
PI540741	NaN
PI540742	NaN
PI540743	NaN
PI540744	NaN
PI540746	NaN
PI540748	NaN
PI540749	NaN
PI540750	NaN
PI540751	NaN
PI542715	NaN
PI542716	NaN
PI542776	NaN
PI542777	NaN
PI542778	NaN
PI542941	NaN
PI542942	NaN
PI542943	NaN
PI542944	NaN
PI542946	NaN
PI542947	NaN
PI542948	NaN
PI542952	NaN
PI542953	NaN
PI542955	NaN
PI542956	NaN
PI542957	NaN
PI542958	NaN
PI542959	NaN
PI543008	NaN
PI543840	NaN
PI543843	NaN
PI543846	NaN
PI543847	NaN
PI543849	NaN
PI543850	NaN
PI544065	NaN
PI546482	NaN
PI546483	NaN
PI546484	NaN
PI546485	NaN
PI546494	NaN
PI547086	NaN
PI547087	NaN
PI547088	NaN
PI547089	NaN
PI547090	NaN
PI547107	NaN
PI548783	NaN
PI548788	NaN
PI548789	NaN
PI548790	NaN
PI548792	NaN
PI548794	NaN
PI548798	NaN
PI548799	NaN
PI548800	NaN
PI548801	NaN
PI548802	NaN
PI548804	NaN
PI548805	NaN
PI548808	NaN
PI548830	NaN
PI548839	NaN
PI550442	NaN
PI550443	NaN
PI550455	NaN
PI550456	NaN
PI550462	NaN
PI550463	NaN
PI550464	NaN
PI550466	NaN
PI550468	NaN
PI550470	NaN
PI550471	NaN
PI550489	NaN
PI550491	NaN
PI550492	NaN
PI550496	NaN
PI550497	NaN
PI550503	NaN
PI550504	NaN
PI550514	NaN
PI550515	NaN
PI550516	NaN
PI550517	NaN
PI550519	NaN
PI550520	NaN
PI550521	NaN
PI550526	NaN
PI550527	NaN
PI550530	NaN
PI550531	NaN
PI550532	NaN
PI550534	NaN
PI550540	NaN
PI550541	NaN
PI550542	NaN
PI550546	NaN
PI550547	NaN
PI550548	NaN
PI550552	NaN
PI550553	NaN
PI550554	NaN
PI550556	NaN
PI550559	NaN
PI550561	NaN
PI550565	NaN
PI550567	NaN
PI550568	NaN
PI550571	NaN
PI550573	NaN
PI550574	NaN
PI550695	NaN
PI550900	NaN
PI550901	NaN
PI550902	NaN
PI550903	NaN
PI550904	NaN
PI550905	NaN
PI550906	NaN
PI550907	NaN
PI550908	NaN
PI550909	NaN
PI550911	NaN
PI550913	NaN
PI550916	NaN
PI550917	NaN
PI550918	NaN
PI550919	NaN
PI550920	NaN
PI550922	NaN
PI550923	NaN
PI550924	NaN
PI550925	NaN
PI552815	NaN
PI553054	NaN
PI553055	NaN
PI553056	NaN
PI553057	NaN
PI553058	NaN
PI553059	NaN
PI553060	NaN
PI553061	NaN
PI553062	NaN
PI553063	NaN
PI553064	NaN
PI554612	NaN
PI554615	NaN
PI554616	NaN
PI555650	NaN
PI555651	NaN
PI555660	NaN
PI558516	NaN
PI558517	NaN
PI558518	NaN
PI558521	NaN
PI558522	NaN
PI558523	NaN
PI558524	NaN
PI558525	NaN
PI558526	NaN
PI558527	NaN
PI558528	NaN
PI558529	NaN
PI558530	NaN
PI558531	NaN
PI558533	NaN
PI558534	NaN
PI559375	NaN
PI559380	NaN
PI559381	NaN
PI559382	NaN
PI559383	NaN
PI559916	NaN
PI559917	NaN
PI559918	NaN
PI559919	NaN
PI559920	NaN
PI559921	NaN
PI559935	NaN
PI559944	NaN
PI559945	NaN
PI559946	NaN
PI559949	NaN
PI559952	NaN
PI559953	NaN
PI559954	NaN
PI560074	NaN
PI560075	NaN
PI560081	NaN
PI560082	NaN
PI560316	NaN
PI561515	NaN
PI561516	NaN
PI561517	NaN
PI561518	NaN
PI561520	NaN
PI561521	NaN
PI561522	NaN
PI561523	NaN
PI561525	NaN
PI561526	NaN
PI561527	NaN
PI561528	NaN
PI561529	NaN
PI561531	NaN
PI561532	NaN
PI561533	NaN
PI561534	NaN
PI561535	NaN
PI561537	NaN
PI561565	NaN
PI561601	NaN
PI561602	NaN
PI561603	NaN
PI561604	NaN
PI561605	NaN
PI561606	NaN
PI561607	NaN
PI561609	NaN
PI561610	NaN
PI561613	NaN
PI561614	NaN
PI561618	NaN
PI561694	NaN
PI561695	NaN
PI564683	NaN
PI564716	NaN
PI564717	NaN
PI564852	NaN
PI567792	NaN
PI567793	NaN
PI567794	NaN
PI568158	NaN
PI568159	NaN
PI568160	NaN
PI572413	NaN
PI583774	NaN
PI583846	NaN
PI583847	NaN
PI584528	NaN
PI584529	NaN
PI586935	NaN
PI587125	NaN
PI587126	NaN
PI587145	NaN
PI587146	NaN
PI587153	NaN
PI587155	NaN
PI591014	NaN
PI591015	NaN
PI591017	NaN
PI591022	NaN
PI592733	NaN
PI592735	NaN
PI592741	NaN
PI593007	NaN
PI593008	NaN
PI593010	NaN
PI593011	NaN
PI593012	NaN
PI593013	NaN
PI593014	NaN
PI593015	NaN
PI593017	NaN
PI593019	NaN
PI593460	NaN
PI594045	NaN
PI594049	NaN
PI594050	NaN
PI594051	NaN
PI594052	NaN
PI594053	NaN
PI594054	NaN
PI594055	NaN
PI594056	NaN
PI594057	NaN
PI594058	NaN
PI594059	NaN
PI594060	NaN
PI594061	NaN
PI594062	NaN
PI594063	NaN
PI594064	NaN
PI594065	NaN
PI594066	NaN
PI594067	NaN
PI594068	NaN
PI594069	NaN
PI594070	NaN
PI594071	NaN
PI594072	NaN
PI594073	NaN
PI594074	NaN
PI594075	NaN
PI594076	NaN
PI594077	NaN
PI594078	NaN
PI594079	NaN
PI594080	NaN
PI594081	NaN
PI594082	NaN
PI594083	NaN
PI594084	NaN
PI594085	NaN
PI594086	NaN
PI594087	NaN
PI594088	NaN
PI594089	NaN
PI594090	NaN
PI594091	NaN
PI595366	NaN
PI595367	NaN
PI595527	NaN
PI595528	NaN
PI595529	NaN
PI595530	NaN
PI595531	NaN
PI595532	NaN
PI595533	NaN
PI595535	NaN
PI595536	NaN
PI595537	NaN
PI595538	NaN
PI595539	NaN
PI595540	NaN
PI595543	NaN
PI595545	NaN
PI595546	NaN
PI595547	NaN
PI595548	NaN
PI595549	NaN
PI595551	NaN
PI595552	NaN
PI595553	NaN
PI595554	NaN
PI595555	NaN
PI595556	NaN
PI595557	NaN
PI595558	NaN
PI595559	NaN
PI595560	NaN
PI595562	NaN
PI595563	NaN
PI595564	NaN
PI595566	NaN
PI595567	NaN
PI595568	NaN
PI595569	NaN
PI595570	NaN
PI595571	NaN
PI595616	NaN
PI596354	NaN
PI596355	NaN
PI596356	NaN
PI596357	NaN
PI596499	NaN
PI596500	NaN
PI596501	NaN
PI596502	NaN
PI596503	NaN
PI596504	NaN
PI596505	NaN
PI596506	NaN
PI596627	NaN
PI596628	NaN
PI596629	NaN
PI597578	NaN
PI597925	NaN
PI597926	NaN
PI600729	NaN
PI600751	NaN
PI600755	NaN
PI600772	NaN
PI600791	NaN
PI600944	NaN
PI600954	NaN
PI600955	NaN
PI600956	NaN
PI600957	NaN
PI600958	NaN
PI600959	NaN
PI600981	NaN
PI601003	NaN
PI601004	NaN
PI601005	NaN
PI601006	NaN
PI601007	NaN
PI601008	NaN
PI601009	NaN
PI601026	NaN
PI601037	NaN
PI601079	NaN
PI601080	NaN
PI601150	NaN
PI601159	NaN
PI601170	NaN
PI601171	NaN
PI601172	NaN
PI601190	NaN
PI601191	NaN
PI601208	NaN
PI601209	NaN
PI601210	NaN
PI601211	NaN
PI601229	NaN
PI601230	NaN
PI601269	NaN
PI601270	NaN
PI601300	NaN
PI601301	NaN
PI601316	NaN
PI601317	NaN
PI601318	NaN
PI601319	NaN
PI601320	NaN
PI601321	NaN
PI601322	NaN
PI601323	NaN
PI601324	NaN
PI601329	NaN
PI601331	NaN
PI601332	NaN
PI601360	NaN
PI601361	NaN
PI601362	NaN
PI601374	NaN
PI601375	NaN
PI601376	NaN
PI601377	NaN
PI601378	NaN
PI601402	NaN
PI601403	NaN
PI601404	NaN
PI601405	NaN
PI601416	NaN
PI601417	NaN
PI601430	NaN
PI601438	NaN
PI601439	NaN
PI601440	NaN
PI601441	NaN
PI601442	NaN
PI601457	NaN
PI601458	NaN
PI601459	NaN
PI601466	NaN
PI601467	NaN
PI601468	NaN
PI601469	NaN
PI601470	NaN
PI601489	NaN
PI601490	NaN
PI601491	NaN
PI601492	NaN
PI601493	NaN
PI601494	NaN
PI601495	NaN
PI601496	NaN
PI601497	NaN
PI601498	NaN
PI601499	NaN
PI601500	NaN
PI601501	NaN
PI601502	NaN
PI601558	NaN
PI601559	NaN
PI601560	NaN
PI601561	NaN
PI601562	NaN
PI601563	NaN
PI601564	NaN
PI601565	NaN
PI601566	NaN
PI601567	NaN
PI601568	NaN
PI601569	NaN
PI601570	NaN
PI601571	NaN
PI601572	NaN
PI601573	NaN
PI601574	NaN
PI601575	NaN
PI601576	NaN
PI601583	NaN
PI601584	NaN
PI601610	NaN
PI601611	NaN
PI601612	NaN
PI601658	NaN
PI601683	NaN
PI601684	NaN
PI601685	NaN
PI601686	NaN
PI601689	NaN
PI601724	NaN
PI601725	NaN
PI601726	NaN
PI601727	NaN
PI601728	NaN
PI601729	NaN
PI601745	NaN
PI601773	NaN
PI601774	NaN
PI601775	NaN
PI601776	NaN
PI601777	NaN
PI601778	NaN
PI601779	NaN
PI601780	NaN
PI601781	NaN
PI601782	NaN
PI601783	NaN
PI601784	NaN
PI601785	NaN
PI601786	NaN
PI601787	NaN
PI601788	NaN
PI601789	NaN
PI601790	NaN
PI601791	NaN
PI601792	NaN
PI601808	NaN
PI603939	NaN
PI604605	NaN
PI604606	NaN
PI606330	NaN
PI606769	NaN
PI607381	NaN
PI607382	NaN
PI607383	NaN
PI607384	NaN
PI607519	NaN
PI607522	NaN
PI607523	NaN
PI607524	NaN
PI607525	NaN
PI607527	NaN
PI608764	NaN
PI608768	NaN
PI608777	NaN
PI608778	NaN
PI608806	NaN
PI610493	NaN
PI610494	NaN
PI613179	NaN
PI614142	NaN
PI614819	NaN
PI614820	NaN
PI619429	NaN
PI619430	NaN
PI619431	NaN
PI631393	NaN
PI631394	NaN
PI631444	NaN
PI632413	NaN
PI632746	NaN
PI633727	NaN
PI633728	NaN
PI633840	NaN
PI633924	NaN
PI634206	NaN
PI634207	NaN
PI634211	NaN
PI634212	NaN
PI634213	NaN
PI634214	NaN
PI634215	NaN
PI635122	NaN
PI635123	NaN
PI635124	NaN
PI635125	NaN
PI635126	NaN
PI635127	NaN
PI635128	NaN
PI635129	NaN
PI635130	NaN
PI635131	NaN
PI635132	NaN
PI635133	NaN
PI635134	NaN
PI635135	NaN
PI635136	NaN
PI635137	NaN
PI635138	NaN
PI635139	NaN
PI635140	NaN
PI635141	NaN
PI638549	NaN
PI638550	NaN
PI638551	NaN
PI638552	NaN
PI638553	NaN
PI638594	NaN
PI639037	NaN
PI639038	NaN
PI639039	NaN
PI639040	NaN
PI639041	NaN
PI639042	NaN
PI639044	NaN
PI639045	NaN
PI639046	NaN
PI639048	NaN
PI639049	NaN
PI639050	NaN
PI639052	NaN
PI639053	NaN
PI639055	NaN
PI639056	NaN
PI639111	NaN
PI639497	NaN
PI639498	NaN
PI639499	NaN
PI639500	NaN
PI639501	NaN
PI639502	NaN
PI639503	NaN
PI639504	NaN
PI639505	NaN
PI639925	NaN
PI639926	NaN
PI639927	NaN
PI639928	NaN
PI639929	NaN
PI639930	NaN
PI639931	NaN
PI639932	NaN
PI639933	NaN
PI639934	NaN
PI639935	NaN
PI639936	NaN
PI639937	NaN
PI639938	NaN
PI639939	NaN
PI639940	NaN
PI639941	NaN
PI639942	NaN
PI639943	NaN
PI639944	NaN
PI639945	NaN
PI639946	NaN
PI639947	NaN
PI639948	NaN
PI639949	NaN
PI639950	NaN
PI641061	NaN
PI641062	NaN
PI641063	NaN
PI641064	NaN
PI641065	NaN
PI641066	NaN
PI641067	NaN
PI641068	NaN
PI641069	NaN
PI641070	NaN
PI641071	NaN
PI641072	NaN
PI641073	NaN
PI641074	NaN
PI641075	NaN
PI641076	NaN
PI641224	NaN
PI641225	NaN
PI641226	NaN
PI641229	NaN
PI641230	NaN
PI641232	NaN
PI641234	NaN
PI641238	NaN
PI641242	NaN
PI641243	NaN
PI641244	NaN
PI641245	NaN
PI641246	NaN
PI641247	NaN
PI641248	NaN
PI641249	NaN
PI641251	NaN
PI641252	NaN
PI641253	NaN
PI641254	NaN
PI641255	NaN
PI641256	NaN
PI641257	NaN
PI641258	NaN
PI641259	NaN
PI641260	NaN
PI641261	NaN
PI641262	NaN
PI641263	NaN
PI641264	NaN
PI641265	NaN
PI641266	NaN
PI641711	NaN
PI642762	NaN
PI642763	NaN
PI642764	NaN
PI642765	NaN
PI642767	NaN
PI643420	NaN
PI644099	NaN
PI644100	NaN
PI644101	NaN
PI644102	NaN
PI648423	NaN
PI648424	NaN
PI648425	NaN
PI648426	NaN
PI648427	NaN
PI648428	NaN
PI648429	NaN
PI648430	NaN
PI648431	NaN
PI648432	NaN
PI648433	NaN
PI651530	NaN
PI651531	NaN
PI651532	NaN
PI651533	NaN
PI651534	NaN
PI651535	NaN
PI651536	NaN
PI651537	NaN
PI651538	NaN
PI651539	NaN
PI651540	NaN
PI651541	NaN
PI651542	NaN
PI651543	NaN
PI651544	NaN
PI651545	NaN
PI654048	NaN
PI654049	NaN
PI654050	NaN
PI654051	NaN
PI654052	NaN
PI654053	NaN
PI658071	NaN
PI658072	NaN
PI658073	NaN
PI658074	NaN
PI658075	NaN
PI658076	NaN
PI658077	NaN
PI658078	NaN
PI658079	NaN
PI658080	NaN
PI658081	NaN
PI658082	NaN
PI658083	NaN
PI658084	NaN
PI658085	NaN
PI658086	NaN
PI658087	NaN
PI658088	NaN
PI658089	NaN
PI658090	NaN
PI659678	NaN
PI659679	NaN
PI659680	NaN
PI659681	NaN
Pa762	0.842418212
Pa875	0.943291692
Pa880	0.659118862
Pa91	0.844073719
R109B	0.756996457
R168	0.927414908
R177	0.570081307
R229	0.831991743
R4	1.015818344
SA24	0.739799983
SAN_349a-1	NaN
SC16	NaN
SC212M	NaN
SC213R	0.76740666
SC229	NaN
SC235R3	NaN
SC276Q2	NaN
SC277	NaN
SC285	NaN
SC301	NaN
SC333	NaN
SC343	NaN
SC344	NaN
SC353	NaN
SC357	0.828635873
SC359	NaN
SC375	NaN
SC401	NaN
SC54	NaN
SC55	0.676819295
SC76	NaN
SD40	0.582351684
SD44	0.649495669
SD46	NaN
Sg1533	0.640871686
Sg18	0.621121328
T173	NaN
T232	0.63860924
T234	0.804130761
T8	0.661170379
TR_9-1-1-6	NaN
Tx114	NaN
Tx204	NaN
Tx205	NaN
Tx303	0.676544964
Tx325	NaN
Tx601	0.742502653
Tx772	NaN
Tzi10	NaN
Tzi11	NaN
Tzi16	0.833009061
Tzi18	0.593887595
Tzi25	0.783855548
Tzi8	NaN
Tzi9	1.012773419
U267Y	0.96753516
VA102	0.715567557
VEN_981a-1	NaN
Va14	0.573290721
Va17	0.546925226
Va22	0.613506417
Va26	0.809447191
Va35	0.649149055
Va59	0.632343613
Va85	1.052979261
Va99	0.765101042
VaW6	0.731602874
W117Ht	0.813899893
W153R	0.966118686
W182B	0.652400371
W22	0.84976521
W22R-r-std	0.974585667
W552	NaN
W64A	0.836391489
WD	0.697540181
WD456	NaN
Wf9	0.581058982
Yu796_NS	0.834103268
tripsacum	NaN
